Age group,Region,Cases,Year
less than 1 year,North East,0,2020
1 to 4 years,North East,0,2020
5 to 9 years,North East,0,2020
10 to 14 years,North East,0,2020
15 to 19 years,North East,0,2020
20 to 24 years,North East,0,2020
25 to 29 years,North East,0,2020
30 to 34 years,North East,0,2020
35 years and older,North East,0,2020
less than 1 year,North West,0,2020
1 to 4 years,North West,0,2020
5 to 9 years,North West,0,2020
10 to 14 years,North West,0,2020
15 to 19 years,North West,1,2020
20 to 24 years,North West,1,2020
25 to 29 years,North West,0,2020
30 to 34 years,North West,1,2020
35 years and older,North West,6,2020
less than 1 year,Yorkshire and Humberside,0,2020
1 to 4 years,Yorkshire and Humberside,0,2020
5 to 9 years,Yorkshire and Humberside,0,2020
10 to 14 years,Yorkshire and Humberside,0,2020
15 to 19 years,Yorkshire and Humberside,0,2020
20 to 24 years,Yorkshire and Humberside,0,2020
25 to 29 years,Yorkshire and Humberside,0,2020
30 to 34 years,Yorkshire and Humberside,0,2020
35 years and older,Yorkshire and Humberside,0,2020
less than 1 year,East Midlands,0,2020
1 to 4 years,East Midlands,0,2020
5 to 9 years,East Midlands,0,2020
10 to 14 years,East Midlands,0,2020
15 to 19 years,East Midlands,0,2020
20 to 24 years,East Midlands,0,2020
25 to 29 years,East Midlands,3,2020
30 to 34 years,East Midlands,0,2020
35 years and older,East Midlands,1,2020
less than 1 year,West Midlands,0,2020
1 to 4 years,West Midlands,0,2020
5 to 9 years,West Midlands,0,2020
10 to 14 years,West Midlands,0,2020
15 to 19 years,West Midlands,0,2020
20 to 24 years,West Midlands,0,2020
25 to 29 years,West Midlands,0,2020
30 to 34 years,West Midlands,0,2020
35 years and older,West Midlands,1,2020
less than 1 year,East of England,0,2020
1 to 4 years,East of England,1,2020
5 to 9 years,East of England,2,2020
10 to 14 years,East of England,0,2020
15 to 19 years,East of England,0,2020
20 to 24 years,East of England,0,2020
25 to 29 years,East of England,0,2020
30 to 34 years,East of England,0,2020
35 years and older,East of England,2,2020
less than 1 year,London,0,2020
1 to 4 years,London,7,2020
5 to 9 years,London,3,2020
10 to 14 years,London,4,2020
15 to 19 years,London,6,2020
20 to 24 years,London,5,2020
25 to 29 years,London,2,2020
30 to 34 years,London,3,2020
35 years and older,London,9,2020
less than 1 year,South East,1,2020
1 to 4 years,South East,6,2020
5 to 9 years,South East,2,2020
10 to 14 years,South East,2,2020
15 to 19 years,South East,1,2020
20 to 24 years,South East,1,2020
25 to 29 years,South East,3,2020
30 to 34 years,South East,1,2020
35 years and older,South East,2,2020
less than 1 year,South West,0,2020
1 to 4 years,South West,0,2020
5 to 9 years,South West,0,2020
10 to 14 years,South West,0,2020
15 to 19 years,South West,0,2020
20 to 24 years,South West,0,2020
25 to 29 years,South West,0,2020
30 to 34 years,South West,0,2020
35 years and older,South West,2,2020
less than 1 year,Wales,0,2020
1 to 4 years,Wales,0,2020
5 to 9 years,Wales,0,2020
10 to 14 years,Wales,0,2020
15 to 19 years,Wales,0,2020
20 to 24 years,Wales,0,2020
25 to 29 years,Wales,0,2020
30 to 34 years,Wales,0,2020
35 years and older,Wales,0,2020
less than 1 year,North East,0,2021
1 to 4 years,North East,0,2021
5 to 9 years,North East,0,2021
10 to 14 years,North East,0,2021
15 to 19 years,North East,0,2021
20 to 24 years,North East,0,2021
25 to 29 years,North East,0,2021
30 to 34 years,North East,0,2021
35 years and older,North East,0,2021
less than 1 year,North West,0,2021
1 to 4 years,North West,0,2021
5 to 9 years,North West,0,2021
10 to 14 years,North West,0,2021
15 to 19 years,North West,0,2021
20 to 24 years,North West,0,2021
25 to 29 years,North West,0,2021
30 to 34 years,North West,0,2021
35 years and older,North West,0,2021
less than 1 year,Yorkshire and Humberside,0,2021
1 to 4 years,Yorkshire and Humberside,0,2021
5 to 9 years,Yorkshire and Humberside,0,2021
10 to 14 years,Yorkshire and Humberside,0,2021
15 to 19 years,Yorkshire and Humberside,0,2021
20 to 24 years,Yorkshire and Humberside,0,2021
25 to 29 years,Yorkshire and Humberside,0,2021
30 to 34 years,Yorkshire and Humberside,0,2021
35 years and older,Yorkshire and Humberside,0,2021
less than 1 year,East Midlands,0,2021
1 to 4 years,East Midlands,0,2021
5 to 9 years,East Midlands,0,2021
10 to 14 years,East Midlands,0,2021
15 to 19 years,East Midlands,0,2021
20 to 24 years,East Midlands,0,2021
25 to 29 years,East Midlands,0,2021
30 to 34 years,East Midlands,0,2021
35 years and older,East Midlands,0,2021
less than 1 year,West Midlands,0,2021
1 to 4 years,West Midlands,0,2021
5 to 9 years,West Midlands,0,2021
10 to 14 years,West Midlands,0,2021
15 to 19 years,West Midlands,0,2021
20 to 24 years,West Midlands,0,2021
25 to 29 years,West Midlands,0,2021
30 to 34 years,West Midlands,0,2021
35 years and older,West Midlands,0,2021
less than 1 year,East of England,0,2021
1 to 4 years,East of England,0,2021
5 to 9 years,East of England,0,2021
10 to 14 years,East of England,0,2021
15 to 19 years,East of England,0,2021
20 to 24 years,East of England,0,2021
25 to 29 years,East of England,0,2021
30 to 34 years,East of England,0,2021
35 years and older,East of England,0,2021
less than 1 year,London,0,2021
1 to 4 years,London,1,2021
5 to 9 years,London,0,2021
10 to 14 years,London,0,2021
15 to 19 years,London,0,2021
20 to 24 years,London,1,2021
25 to 29 years,London,0,2021
30 to 34 years,London,0,2021
35 years and older,London,0,2021
less than 1 year,South East,0,2021
1 to 4 years,South East,0,2021
5 to 9 years,South East,0,2021
10 to 14 years,South East,0,2021
15 to 19 years,South East,0,2021
20 to 24 years,South East,0,2021
25 to 29 years,South East,0,2021
